,true_score,fake_score,true-fake
346,0.031695824,0.010918972,0.020776853
347,0.016383676,0.018742725,-0.0023590494
348,0.040155523,0.008122964,0.032032557
349,0.013467627,0.01429092,-0.0008232938
350,0.013467627,0.01429092,-0.0008232938
351,0.03889371,0.012481952,0.026411759
352,0.058830347,0.03497145,0.023858897
353,0.021524731,0.013291196,0.008233535
354,0.017964123,0.016741563,0.0012225602
355,0.028694237,0.0072752964,0.02141894
356,0.028694237,0.0072752964,0.02141894
357,0.013161911,0.00809833,0.0050635803
358,0.010903972,0.0084445635,0.0024594087
359,0.01605025,0.024005463,-0.007955214
360,0.010078848,0.010091448,-1.2599863e-05
361,0.028694237,0.006866013,0.021828223
362,0.028694237,0.006866013,0.021828223
363,0.012174508,0.009456354,0.0027181534
364,0.018798986,0.022117335,-0.003318349
365,0.0136362,0.008438477,0.0051977225
366,0.013928833,0.0077884416,0.006140392
367,0.011076941,0.019818885,-0.008741944
368,0.011076941,0.019818885,-0.008741944
369,0.008908216,0.011411952,-0.002503736
370,0.027099516,0.022312365,0.004787151
371,0.02488973,0.03398096,-0.009091228
372,0.037533846,0.006263837,0.03127001
373,0.009524305,0.0061897244,0.003334581
374,0.009524305,0.0061897244,0.003334581
375,0.038117286,0.023012301,0.015104985
376,0.012406142,0.016218742,-0.0038126
377,0.035477996,0.023643224,0.011834772
378,0.020765271,0.018859629,0.0019056424
379,0.02542988,0.02151507,0.0039148107
380,0.02542988,0.02151507,0.0039148107
381,0.01564128,0.01892791,-0.00328663
382,0.02558898,0.024559267,0.0010297131
383,0.06764993,0.046813183,0.020836748
384,0.02274747,0.009396075,0.013351395
385,0.068950035,0.062257044,0.0066929907
386,0.068950035,0.062257044,0.0066929907
387,0.032258827,0.017466448,0.014792379
388,0.06446922,0.050394855,0.014074363
389,0.06192307,0.031823486,0.030099586
390,0.014402704,0.013000812,0.0014018919
391,0.032578085,0.01791111,0.014666975
392,0.032578085,0.01791111,0.014666975
393,0.0135632465,0.0103474725,0.003215774
394,0.012996908,0.011348878,0.0016480302
395,0.030313058,0.03097459,-0.00066153146
396,0.066170566,0.02308868,0.043081887
397,0.027805349,0.034946155,-0.007140806
398,0.027805349,0.034946155,-0.007140806
399,0.021866579,0.011954442,0.009912137
400,0.109877795,0.053748418,0.056129377
401,0.010973528,0.012444998,-0.0014714701
402,0.0135632465,0.0103474725,0.003215774
403,0.0135632465,0.0103474725,0.003215774
404,0.028407356,0.030068891,-0.0016615354
405,0.03192355,0.030857926,0.0010656249
406,0.032483093,0.04367739,-0.011194296
407,0.034032673,0.022794249,0.011238424
408,0.028302085,0.032907054,-0.004604969
409,0.028302085,0.032907054,-0.004604969
410,0.013124803,0.014015672,-0.0008908687
411,0.01765939,0.023924695,-0.006265305
412,0.01144114,0.011348187,9.295344e-05
413,0.013970321,0.010552268,0.0034180535
414,0.016096096,0.015335284,0.0007608123
415,0.016096096,0.015335284,0.0007608123
416,0.06346968,0.04620185,0.017267827
417,0.013859646,0.011008485,0.0028511612
418,0.020501176,0.015684426,0.00481675
419,0.01537637,0.012204122,0.0031722486
420,0.02684572,0.018418657,0.008427063
421,0.02684572,0.018418657,0.008427063
422,0.06603517,0.025768632,0.040266536
